id,ordemdecompra,categoria,descricao,parcelamento,numcard,datacompra,previsao,qtd,fornecedor,recebido,medida
1069,4200547201,Porta de Aluminio,PORTA SUPERIOR PERFIL ALUMINIO PRETO 3025 E VIDRO INCOLOR - 691X372,0,,2024-10-01,2024-10-16,2,VALTER,2024-10-22,
1070,4210198206,Vidro / Espelho,ESPELHO PRATA 4MM  / 1053X410MM,0,,,,4,VALTER,2024-11-12,
1071,4200539102,Vidro / Espelho,PRATELEIRA VIDRO INCOLOR 8MM,0,,,,1,VALTER,2024-10-22,
1072,4210247401,Serralheria,METALON PRATELEIRAS (REFAZER) - 980X328,0,,2024-10-04,2024-10-14,2,METAL ITALO,2024-10-18,
1073,4210252201,Porta de Aluminio,PORTA ALUMINIO REFLCTA BRONZE - 596X696,0,,2024-09-23,2024-10-08,1,VALTER,2024-10-18,
1074,4200555502,Serralheria,MÃO FRANCESA 300 X 45O X 15 X 15 FORNECIDA PELO BRITO,0,,,,4,BRITO,2024-10-21,
1075,4210252504,Serralheria,TELA MOEDA GALVENIZADA PERFURADA CHAPA 2MM  2METROS,0,,2024-10-10,2024-10-14,1,MERCADO LIVRE,2024-10-14,
1076,4210252504,Vidro / Espelho,VIDRO INCOLOR 536 X 130 LAP.CANTO RETO,0,,,,2,VALTER,2024-11-04,
1077,4210252506,Trilho,SARRAFO/PORTA DELSZ. MADEIRA MACIÇO   2610 X 45 X 50,0,,,,1,,2024-10-31,
1078,4200555003,Porta de Aluminio,PORTA GIRO PERFIL ALUM. FINO PRATA S/ PUX,0,,2024-11-20,2024-12-05,1,VALTER,2025-05-08,2374 X 496
1079,4200555005,Porta de Aluminio,PORTA ALUM PERFIL PRATA C/PUX.098 E ESPELHO PRATA 2360 X 847,0,,2024-12-03,2024-12-18,1,VALTER,2024-12-24,
1080,4200555005,Porta de Aluminio,PORTA ALUM PERFIL PRATA C/PUX.098 E VIDRO REFLCTA BRONZE  2360 X 950,0,,2024-12-03,2024-12-18,2,VALTER,2024-12-24,
1081,4200555005,Vidro / Espelho,VIDRO INCOLOR 6MM TAMPO PORTA JOIAS 750 X 517 = 6 MM,0,,2024-12-04,2024-12-19,1,VALTER,2024-12-24,
1082,4200555006,Porta de Aluminio,PORTA ALUM PRATA PERFIL PUX. 098 E ESPELHO PRATA  2360 X 695,0,,2024-11-21,2024-12-06,1,VALTER,2024-12-05,
1083,4210262401,Acessorios Avulsos,FECHADURA BICO DE PAPAGAIO CHAVE 1 LADO,0,,,,1,ESCRITÓRIO,2024-10-11,
1084,4200554801,Acessorios Avulsos,TULHA DESLIZANTE CROMADA MASSUTTI MOD: 1500,6,7179.0,2024-10-23,2024-11-04,1,VAROTTI,2024-10-30,
1085,4200554804,Porta de Aluminio,PORTA ALUM PERFIL FINO PRETO VIDRO REFLECTA BRONZE 836X296MM,0,,,,1,VALTER,2024-11-25,
1086,4200554809,Vidro / Espelho,TAMPO MESA PORTA JOIAS - VIDRO 6MM,0,,,,1,VALTER,2024-12-17,
1087,4200554201,Porta de Aluminio,PORTA BASC.  PUX ALUM ACOPL - REFLECTA BRONZE 445 X 786,0,,,,1,VALTER,2024-11-25,
